Price,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAL,DAL,UAL,AAL,DAL,UAL,AAL,DAL,UAL,AAL,DAL,UAL,AAL,DAL,UAL,AAL,DAL,UAL
Date,,,,,,,,,,,,,,,,,,
2024-05-30,11.4399995803833,49.6679573059082,51.34000015258789,11.4399995803833,50.11000061035156,51.34000015258789,11.779999732971191,50.150001525878906,52.119998931884766,11.390000343322754,49.38999938964844,51.15999984741211,11.760000228881836,50.0,51.959999084472656,57004600,4911300,5399400
2024-05-31,11.5,50.56993103027344,52.9900016784668,11.5,51.02000045776367,52.9900016784668,11.569999694824219,51.08000183105469,53.11000061035156,11.25,50.220001220703125,51.650001525878906,11.510000228881836,50.400001525878906,51.81999969482422,60868400,7780900,7740900
2024-06-03,11.529999732971191,50.34196090698242,52.720001220703125,11.529999732971191,50.790000915527344,52.720001220703125,11.949999809265137,51.63999938964844,54.599998474121094,11.5,50.459999084472656,52.220001220703125,11.600000381469727,51.45000076293945,53.5,52899000,5403300,8790600
2024-06-04,11.5,49.420162200927734,52.34000015258789,11.5,49.86000061035156,52.34000015258789,11.789999961853027,51.38999938964844,54.02000045776367,11.479999542236328,49.29999923706055,51.72999954223633,11.539999961853027,50.599998474121094,52.63999938964844,39161500,7232200,8538800
2024-06-05,11.619999885559082,50.3716926574707,52.90999984741211,11.619999885559082,50.81999969482422,52.90999984741211,11.770000457763672,51.70000076293945,53.68000030517578,11.449999809265137,49.79999923706055,51.380001068115234,11.510000228881836,50.0,52.11000061035156,34340900,10234100,8902900
2024-06-06,11.430000305175781,49.98513412475586,53.29999923706055,11.430000305175781,50.43000030517578,53.29999923706055,11.729999542236328,51.65999984741211,55.119998931884766,11.319999694824219,50.29999923706055,53.029998779296875,11.579999923706055,51.0,53.310001373291016,35840600,5228700,8653300
2024-06-07,11.5,49.99504089355469,53.0,11.5,50.439998626708984,53.0,11.569999694824219,50.709999084472656,53.34000015258789,11.350000381469727,49.9900016784668,52.61000061035156,11.359999656677246,50.0,52.720001220703125,29411400,4743500,4695400
2024-06-10,11.489999771118164,50.05451583862305,53.029998779296875,11.489999771118164,50.5,53.029998779296875,11.569999694824219,50.869998931884766,53.47999954223633,11.369999885559082,50.0099983215332,52.279998779296875,11.430000305175781,50.29999923706055,52.540000915527344,23421000,3734700,3521200
2024-06-11,11.279999732971191,48.855194091796875,52.04999923706055,11.279999732971191,49.290000915527344,52.04999923706055,11.449999809265137,50.189998626708984,52.84000015258789,11.260000228881836,49.04999923706055,51.849998474121094,11.40999984741211,50.130001068115234,52.65999984741211,25439700,7120800,4621000
2024-06-12,11.5,50.17345428466797,52.93000030517578,11.5,50.619998931884766,52.93000030517578,11.6899995803833,51.189998626708984,54.130001068115234,11.390000343322754,49.79999923706055,52.5,11.399999618530273,49.95000076293945,52.849998474121094,40769700,6810000,7595200
2024-06-13,11.4399995803833,49.72742462158203,52.06999969482422,11.4399995803833,50.16999816894531,52.06999969482422,11.470000267028809,50.5,52.86000061035156,11.220000267028809,49.349998474121094,51.060001373291016,11.449999809265137,50.40999984741211,52.86000061035156,33290000,5250400,5466200
2024-06-14,11.279999732971191,48.29022216796875,49.689998626708984,11.279999732971191,48.720001220703125,49.689998626708984,11.359999656677246,49.630001068115234,51.11000061035156,11.09000015258789,47.41999816894531,48.459999084472656,11.319999694824219,49.52000045776367,50.9900016784668,42272500,12323500,10772400
2024-06-17,11.4399995803833,49.271484375,50.36000061035156,11.4399995803833,49.709999084472656,50.36000061035156,11.489999771118164,49.779998779296875,50.619998931884766,11.210000038146973,48.5,49.400001525878906,11.220000267028809,48.61000061035156,49.68000030517578,30074100,5288500,4999800
2024-06-18,11.279999732971191,49.142635345458984,49.58000183105469,11.279999732971191,49.58000183105469,49.58000183105469,11.5,49.91999816894531,50.66999816894531,11.270000457763672,49.18000030517578,49.45000076293945,11.40999984741211,49.58000183105469,50.31999969482422,18841500,5026600,5051300
2024-06-20,11.239999771118164,49.17237091064453,48.900001525878906,11.239999771118164,49.61000061035156,48.900001525878906,11.3100004196167,49.75,49.97999954223633,11.1899995803833,49.279998779296875,48.70000076293945,11.300000190734863,49.36000061035156,49.38999938964844,21364400,5303100,5801700
2024-06-21,11.199999809265137,48.944400787353516,48.18000030517578,11.199999809265137,49.380001068115234,48.18000030517578,11.34000015258789,49.599998474121094,48.709999084472656,11.109999656677246,48.720001220703125,47.77000045776367,11.220000267028809,49.560001373291016,48.709999084472656,28098100,9399800,11116700
2024-06-24,11.15999984741211,48.9642219543457,49.18000030517578,11.15999984741211,49.400001525878906,49.18000030517578,11.34000015258789,50.369998931884766,49.83000183105469,11.149999618530273,49.34000015258789,48.2599983215332,11.220000267028809,49.41999816894531,48.38999938964844,25666400,6695400,5554500
2024-06-25,11.130000114440918,48.37942886352539,48.52000045776367,11.130000114440918,48.810001373291016,48.52000045776367,11.369999885559082,49.849998474121094,49.849998474121094,11.119999885559082,48.68000030517578,48.5,11.180000305175781,49.54999923706055,49.15999984741211,28547300,7951400,5750500
2024-06-26,11.119999885559082,47.754981994628906,48.06999969482422,11.119999885559082,48.18000030517578,48.06999969482422,11.329999923706055,48.470001220703125,48.59000015258789,10.960000038146973,47.150001525878906,46.75,11.050000190734863,47.900001525878906,47.900001525878906,39848700,10964200,6387300
2024-06-27,11.279999732971191,48.1712760925293,48.20000076293945,11.279999732971191,48.599998474121094,48.20000076293945,11.319999694824219,48.63999938964844,48.529998779296875,11.020000457763672,47.869998931884766,47.45000076293945,11.119999885559082,48.150001525878906,47.95000076293945,23780800,6504900,4649700
2024-06-28,11.329999923706055,47.02151107788086,48.65999984741211,11.329999923706055,47.439998626708984,48.65999984741211,11.359999656677246,48.5,48.880001068115234,11.199999809265137,47.029998779296875,48.02000045776367,11.239999771118164,48.41999816894531,48.25,28121100,11892900,5293900
2024-07-01,11.039999961853027,46.50609588623047,48.33000183105469,11.039999961853027,46.91999816894531,48.33000183105469,11.40999984741211,47.900001525878906,49.15999984741211,11.0,46.7400016784668,47.9900016784668,11.329999923706055,47.810001373291016,48.720001220703125,28624300,9064600,4213100
2024-07-02,11.050000190734863,46.29794692993164,48.20000076293945,11.050000190734863,46.709999084472656,48.20000076293945,11.109999656677246,47.290000915527344,48.4900016784668,10.949999809265137,46.52000045776367,47.810001373291016,11.0600004196167,47.0,48.369998931884766,22487900,6361900,4879300
2024-07-03,11.119999885559082,46.97195053100586,48.5099983215332,11.119999885559082,47.38999938964844,48.5099983215332,11.220000267028809,47.470001220703125,48.81999969482422,11.069999694824219,46.90999984741211,48.099998474121094,11.15999984741211,47.150001525878906,48.43000030517578,16150100,3543200,2875000
2024-07-05,11.039999961853027,45.614036560058594,47.0,11.039999961853027,46.02000045776367,47.0,11.1899995803833,47.150001525878906,48.470001220703125,10.979999542236328,45.959999084472656,46.52000045776367,11.130000114440918,47.150001525878906,48.29999923706055,24396000,9605500,7251900
2024-07-08,10.930000305175781,45.941123962402344,46.81999969482422,10.930000305175781,46.349998474121094,46.81999969482422,11.130000114440918,47.29999923706055,47.72999954223633,10.90999984741211,46.279998779296875,46.709999084472656,11.079999923706055,46.81999969482422,47.560001373291016,32261700,7404000,4774700
2024-07-09,10.979999542236328,46.47636032104492,47.20000076293945,10.979999542236328,46.88999938964844,47.20000076293945,11.09000015258789,47.61000061035156,47.709999084472656,10.869999885559082,46.2599983215332,46.65999984741211,10.960000038146973,46.369998931884766,46.970001220703125,26579300,9369500,4658300
2024-07-10,11.149999618530273,46.446624755859375,47.150001525878906,11.149999618530273,46.86000061035156,47.150001525878906,11.220000267028809,47.290000915527344,47.619998931884766,10.989999771118164,46.47999954223633,46.880001068115234,11.039999961853027,47.130001068115234,47.619998931884766,28502000,11416100,6847900
2024-07-11,10.729999542236328,44.59312438964844,45.63999938964844,10.729999542236328,44.9900016784668,45.63999938964844,10.760000228881836,45.029998779296875,45.720001220703125,10.34000015258789,42.16999816894531,43.72999954223633,10.680000305175781,43.0099983215332,44.75,80291500,33857200,14185500
2024-07-12,10.680000305175781,43.23521041870117,44.720001220703125,10.680000305175781,43.619998931884766,44.720001220703125,10.800000190734863,44.880001068115234,45.79999923706055,10.569999694824219,43.54999923706055,44.54999923706055,10.710000038146973,44.459999084472656,45.38999938964844,33133100,16717000,8991200
2024-07-15,10.630000114440918,42.62067413330078,44.31999969482422,10.630000114440918,43.0,44.31999969482422,10.770000457763672,43.619998931884766,44.9900016784668,10.5600004196167,42.720001220703125,44.119998931884766,10.670000076293945,43.61000061035156,44.709999084472656,28634200,12563800,6330100
2024-07-16,11.1899995803833,45.614036560058594,47.06999969482422,11.1899995803833,46.02000045776367,47.06999969482422,11.239999771118164,46.04999923706055,47.11000061035156,10.649999618530273,43.15999984741211,44.25,10.649999618530273,43.2400016784668,44.25,48708700,15554000,9821100
2024-07-17,11.010000228881836,45.35633087158203,46.939998626708984,11.010000228881836,45.7599983215332,46.939998626708984,11.109999656677246,46.029998779296875,47.540000915527344,10.84000015258789,45.29999923706055,46.540000915527344,10.989999771118164,45.33000183105469,46.7599983215332,32356200,7160500,14554700
2024-07-18,10.619999885559082,44.523738861083984,46.38999938964844,10.619999885559082,44.91999816894531,46.38999938964844,11.09000015258789,46.79999923706055,49.66999816894531,10.609999656677246,44.59000015258789,46.06999969482422,10.960000038146973,45.75,47.90999984741211,46855200,10441500,20945200
2024-07-19,10.579999923706055,45.03915023803711,47.93000030517578,10.579999923706055,45.439998626708984,47.93000030517578,10.649999618530273,45.86000061035156,48.310001373291016,10.430000305175781,44.04999923706055,44.95000076293945,10.630000114440918,44.7400016784668,45.900001525878906,25697300,8789800,9601200
2024-07-22,10.6899995803833,43.443359375,48.189998626708984,10.6899995803833,43.83000183105469,48.189998626708984,10.739999771118164,44.91999816894531,48.7599983215332,10.350000381469727,43.54999923706055,46.630001068115234,10.489999771118164,44.650001525878906,47.2400016784668,38897200,14486000,8876300
2024-07-23,10.479999542236328,43.22529602050781,48.220001220703125,10.479999542236328,43.61000061035156,48.220001220703125,10.739999771118164,44.040000915527344,48.88999938964844,10.470000267028809,43.2400016784668,47.86000061035156,10.630000114440918,43.84000015258789,47.9900016784668,30548000,10772600,6682500
2024-07-24,10.170000076293945,42.56120681762695,46.02000045776367,10.170000076293945,42.939998626708984,46.02000045776367,10.539999961853027,43.900001525878906,48.34000015258789,10.119999885559082,42.810001373291016,45.83000183105469,10.449999809265137,43.47999954223633,48.34000015258789,47312000,7120100,6996100
